ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
14,Non Profit Agency,Catholic Elementary School,0,30,0
3,Non Profit Agency,Purpose Built,1,119,1
11,Non Profit Agency,Purpose Built,1,96,1
11,Non Profit Agency,Community College/University,1,26,1
14,Non Profit Agency,Catholic High School,1,62,1
13,Non Profit Agency,High Rise Apartment,1,65,1
14,Non Profit Agency,Other,1,72,1
16,Commercial Agency,Private Elementary School,1,235,0
11,Commercial Agency,Office Building,1,77,0
10,Commercial Agency,Other,1,62,0
14,Commercial Agency,Commercial Building,1,33,0
16,Commercial Agency,Other,1,32,1
14,Non Profit Agency,Purpose Built,1,59,1
3,Non Profit Agency,Church,1,46,1
5,Commercial Agency,High Rise Apartment,1,34,1
19,Commercial Agency,Other,1,37,0
22,Non Profit Agency,Other,1,63,1
16,Non Profit Agency,Place of Worship,1,50,1
4,Non Profit Agency,Purpose Built,1,62,1
2,Commercial Agency,Public Elementary School,1,24,0
14,Non Profit Agency,Place of Worship,1,39,1
12,Commercial Agency,Low Rise Apartment,0,92,0
3,Non Profit Agency,Public Elementary School,1,43,1
20,Commercial Agency,Commercial Building,0,34,0
2,Non Profit Agency,Catholic Elementary School,1,116,1
